[1,     4] loss: 0.9706087708
[2,     4] loss: 0.9690581858
[3,     4] loss: 0.9664546549
[4,     4] loss: 0.9663342088
[5,     4] loss: 0.9602975100
[6,     4] loss: 0.9592328668
[7,     4] loss: 0.9571669102
[8,     4] loss: 0.9566007555
[9,     4] loss: 0.9493305534
[10,     4] loss: 0.9531923831
[11,     4] loss: 0.9471917897
[12,     4] loss: 0.9458788484
[13,     4] loss: 0.9477389157
[14,     4] loss: 0.9446699470
[15,     4] loss: 0.9445522577
[16,     4] loss: 0.9426114559
[17,     4] loss: 0.9410074949
[18,     4] loss: 0.9391370714
[19,     4] loss: 0.9393761009
[20,     4] loss: 0.9297147542
[21,     4] loss: 0.9380996525
[22,     4] loss: 0.9299672246
[23,     4] loss: 0.9305329323
[24,     4] loss: 0.9313304573
[25,     4] loss: 0.9267468750
[26,     4] loss: 0.9278846085
[27,     4] loss: 0.9239678681
[28,     4] loss: 0.9328012466
[29,     4] loss: 0.9305761606
[30,     4] loss: 0.9254772812
[31,     4] loss: 0.9277595282
[32,     4] loss: 0.9223051220
[33,     4] loss: 0.9223770946
[34,     4] loss: 0.9202339351
[35,     4] loss: 0.9168429971
[36,     4] loss: 0.9210723490
[37,     4] loss: 0.9199925512
[38,     4] loss: 0.9174384028
[39,     4] loss: 0.9166721106
[40,     4] loss: 0.9147722721
[41,     4] loss: 0.9188660234
[42,     4] loss: 0.9109653831
[43,     4] loss: 0.9180383682
[44,     4] loss: 0.9162247479
[45,     4] loss: 0.9139921814
[46,     4] loss: 0.9132551849
[47,     4] loss: 0.9092722833
[48,     4] loss: 0.9072999060
[49,     4] loss: 0.9134998024
[50,     4] loss: 0.9058513343
[51,     4] loss: 0.9101307392
[52,     4] loss: 0.9089846015
[53,     4] loss: 0.9070586860
[54,     4] loss: 0.9043166637
[55,     4] loss: 0.9005311430
[56,     4] loss: 0.8994648904
[57,     4] loss: 0.9016812444
[58,     4] loss: 0.8991426080
[59,     4] loss: 0.9028323740
[60,     4] loss: 0.9006119072
[61,     4] loss: 0.8954163045
[62,     4] loss: 0.8983362466
[63,     4] loss: 0.8949479610
[64,     4] loss: 0.8934489340
[65,     4] loss: 0.8926529586
[66,     4] loss: 0.8956248015
[67,     4] loss: 0.8971647918
[68,     4] loss: 0.8971391916
[69,     4] loss: 0.8877360523
[70,     4] loss: 0.8883522004
[71,     4] loss: 0.8891929835
[72,     4] loss: 0.8906624466
[73,     4] loss: 0.8951466978
[74,     4] loss: 0.8828082234
[75,     4] loss: 0.8875749856
[76,     4] loss: 0.8817487955
[77,     4] loss: 0.8844921291
[78,     4] loss: 0.8849334717
[79,     4] loss: 0.8823135793
[80,     4] loss: 0.8840113729
[81,     4] loss: 0.8767631948
[82,     4] loss: 0.8740765005
[83,     4] loss: 0.8807538301
[84,     4] loss: 0.8781407177
[85,     4] loss: 0.8775614351
[86,     4] loss: 0.8756396472
[87,     4] loss: 0.8752536476
[88,     4] loss: 0.8693335950
