[1,     4] loss: 0.9569001049
[2,     4] loss: 0.8860639036
[3,     4] loss: 0.8044845164
[4,     4] loss: 0.7095249444
[5,     4] loss: 0.5949590206
[6,     4] loss: 0.4714796320
[7,     4] loss: 0.3603094742
[8,     4] loss: 0.2786401175
[9,     4] loss: 0.2326371260
[10,     4] loss: 0.2049660012
[11,     4] loss: 0.1794290580
[12,     4] loss: 0.1560586728
[13,     4] loss: 0.1326944735
[14,     4] loss: 0.1192628276
[15,     4] loss: 0.1110219732
[16,     4] loss: 0.1006184462
[17,     4] loss: 0.0977239665
[18,     4] loss: 0.0874960665
[19,     4] loss: 0.0810181499
[20,     4] loss: 0.0769324461
[21,     4] loss: 0.0728119053
[22,     4] loss: 0.0644495152
[23,     4] loss: 0.0676538609
[24,     4] loss: 0.0625528600
[25,     4] loss: 0.0616428042
[26,     4] loss: 0.0545083256
[27,     4] loss: 0.0522596287
[28,     4] loss: 0.0640829308
[29,     4] loss: 0.0524599804
[30,     4] loss: 0.0534676928
[31,     4] loss: 0.0542571521
[32,     4] loss: 0.0507643074
[33,     4] loss: 0.0425015821
[34,     4] loss: 0.0465187263
[35,     4] loss: 0.0467498188
[36,     4] loss: 0.0433055696
[37,     4] loss: 0.0435502427
[38,     4] loss: 0.0434564371
[39,     4] loss: 0.0467247018
[40,     4] loss: 0.0420864113
[41,     4] loss: 0.0451966710
[42,     4] loss: 0.0421061437
[43,     4] loss: 0.0375648532
[44,     4] loss: 0.0467139897
[45,     4] loss: 0.0456686057
[46,     4] loss: 0.0395716205
[47,     4] loss: 0.0400431771
[48,     4] loss: 0.0415973484
[49,     4] loss: 0.0424307715
[50,     4] loss: 0.0417261191
[51,     4] loss: 0.0439977665
[52,     4] loss: 0.0385199850
[53,     4] loss: 0.0324185094
[54,     4] loss: 0.0340201496
[55,     4] loss: 0.0361283510
[56,     4] loss: 0.0428359238
[57,     4] loss: 0.0403706855
[58,     4] loss: 0.0387886979
[59,     4] loss: 0.0361248134
[60,     4] loss: 0.0348709910
[61,     4] loss: 0.0328919931
[62,     4] loss: 0.0364783485
[63,     4] loss: 0.0335309698
[64,     4] loss: 0.0361138107
[65,     4] loss: 0.0351689979
[66,     4] loss: 0.0388265345
[67,     4] loss: 0.0367856049
[68,     4] loss: 0.0387078226
[69,     4] loss: 0.0307131708
[70,     4] loss: 0.0331485928
[71,     4] loss: 0.0302874023
[72,     4] loss: 0.0322466455
[73,     4] loss: 0.0299589956
[74,     4] loss: 0.0346386316
[75,     4] loss: 0.0323032308
[76,     4] loss: 0.0322150574
[77,     4] loss: 0.0323457518
[78,     4] loss: 0.0348188537
[79,     4] loss: 0.0296474656
[80,     4] loss: 0.0367372362
[81,     4] loss: 0.0370722017
[82,     4] loss: 0.0343048503
[83,     4] loss: 0.0391105795
[84,     4] loss: 0.0296663184
[85,     4] loss: 0.0342734992
[86,     4] loss: 0.0317364004
[87,     4] loss: 0.0341611253
[88,     4] loss: 0.0316483737
[89,     4] loss: 0.0340688089
[90,     4] loss: 0.0340089793
[91,     4] loss: 0.0340023749
[92,     4] loss: 0.0315229096
[93,     4] loss: 0.0293291343
[94,     4] loss: 0.0316454577
[95,     4] loss: 0.0315688998
[96,     4] loss: 0.0340113617
[97,     4] loss: 0.0362470318
[98,     4] loss: 0.0314335781
[99,     4] loss: 0.0290201098
[100,     4] loss: 0.0338814259
[101,     4] loss: 0.0338415792
[102,     4] loss: 0.0338378898
[103,     4] loss: 0.0361260199
[104,     4] loss: 0.0313114941
[105,     4] loss: 0.0313607431
[106,     4] loss: 0.0338074858
[107,     4] loss: 0.0337391538
[108,     4] loss: 0.0312964721
[109,     4] loss: 0.0313486210
[110,     4] loss: 0.0337477187
[111,     4] loss: 0.0313841212
[112,     4] loss: 0.0287736918
[113,     4] loss: 0.0360464002
[114,     4] loss: 0.0287558089
[115,     4] loss: 0.0360689475
[116,     4] loss: 0.0337213525
[117,     4] loss: 0.0288079292
[118,     4] loss: 0.0337147629
[119,     4] loss: 0.0359290899
[120,     4] loss: 0.0312423813
[121,     4] loss: 0.0336116087
[122,     4] loss: 0.0286899468
[123,     4] loss: 0.0359927458
[124,     4] loss: 0.0286639020
[125,     4] loss: 0.0311243460
[126,     4] loss: 0.0310462443
[127,     4] loss: 0.0333935614
[128,     4] loss: 0.0310328831
[129,     4] loss: 0.0333677162
[130,     4] loss: 0.0381893935
[131,     4] loss: 0.0309460536
[132,     4] loss: 0.0309782028
[133,     4] loss: 0.0333918068
[134,     4] loss: 0.0333499503
[135,     4] loss: 0.0333714997
[136,     4] loss: 0.0357689201
[137,     4] loss: 0.0309673310
[138,     4] loss: 0.0285733571
[139,     4] loss: 0.0357487785
[140,     4] loss: 0.0357507472
[141,     4] loss: 0.0333056552
[142,     4] loss: 0.0357068121
[143,     4] loss: 0.0380701320
[144,     4] loss: 0.0332596968
[145,     4] loss: 0.0356573751
[146,     4] loss: 0.0332755903
[147,     4] loss: 0.0356569281
[148,     4] loss: 0.0380472955
[149,     4] loss: 0.0308606843
[150,     4] loss: 0.0357323135
[151,     4] loss: 0.0332625033
[152,     4] loss: 0.0308606243
[153,     4] loss: 0.0380183577
[154,     4] loss: 0.0308397003
[155,     4] loss: 0.0356330504
